event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
131,lh_and_evap,powerMon,ramp,2026-06-02 17:48:25,2026-06-02 17:48:34,1331.0,9.0,23.900734,23.883096,-0.017638000000001597,23.879506,23.901536,-0.00418200000000013,22.20785993097035,down
132,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:48:28,2026-06-02 17:49:51,1334.0,83.0,1003.2773,29.819514,-973.4577859999999,29.007148,1003.2773,-63.80989999999997,723.1192053847268,down
133,lh_and_evap,powerMon,ramp,2026-06-02 17:48:42,2026-06-02 17:48:48,1348.0,6.0,23.87607,23.89236,0.01629000000000147,23.871312,23.89236,0.006059999999999732,36.540429032904235,up
134,lh_and_evap,powerMon,ramp,2026-06-02 17:49:20,2026-06-02 17:49:35,1386.0,15.0,23.888724,23.887496,-0.001228000000001117,23.880456,23.892888,-0.0017979999999990781,4.912708815189857,down
135,lh_and_evap,vialTemp,ramp,2026-06-02 17:49:48,2026-06-02 17:49:55,1414.0,7.0,26.6,36.099996,9.499995999999996,26.6,36.099996,1.8000000000000007,16.103473627411077,up
136,lh_and_evap,vialHeaterTemp,ramp,2026-06-02 17:49:48,2026-06-02 17:50:09,1414.0,21.0,38.31788,63.086436,24.768555999999997,38.31788,68.429665,5.322033999999999,12.242607927255767,up
137,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:49:48,2026-06-02 17:50:26,1414.0,38.0,49.956756,54.24138,4.284624000000001,49.956756,54.24138,0.15648799999999952,9.250149993795507,up
138,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:49:50,2026-06-02 17:50:02,1416.0,12.0,26.332006,35.426,9.093994000000002,26.332006,35.426,1.0409959999999998,15.991201309426826,up
139,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:49:59,2026-06-02 17:50:01,1425.0,2.0,30.038492,29.948124,-0.09036800000000156,29.80069,30.038492,-0.07910299999999992,3.2283344968552803,down
140,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:50:10,2026-06-02 17:50:16,1436.0,6.0,29.70056,30.05639,0.355830000000001,29.645396,30.05639,0.10260000000000069,3.4028081017385525,up
141,lh_and_evap,vialHeaterTemp,ramp,2026-06-02 17:50:38,2026-06-02 17:50:43,1464.0,5.0,58.964292,59.146284,0.18199200000000104,58.121276,59.146284,-0.6342700000000008,2.761995583021669,up
142,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:50:43,2026-06-02 17:50:55,1469.0,12.0,30.01503,1003.2376,973.22257,29.755618,1003.2376,164.1828,4654.558914362819,up
143,lh_and_evap,powerMon,ramp,2026-06-02 17:50:43,2026-06-02 17:51:03,1469.0,20.0,23.876876,23.903414,0.02653800000000217,23.8668,23.903414,0.012940000000000396,26.122974381950993,up
144,lh_and_evap,heaterFanSpeed,ramp,2026-06-02 17:50:46,2026-06-02 17:50:48,1472.0,2.0,9840.0,0.0,-9840.0,0.0,9840.0,-4920.0,5.2558175157502065,down
145,lh_and_evap,vialTemp,ramp,2026-06-02 17:50:47,2026-06-02 17:50:50,1473.0,3.0,35.3,34.099996,-1.2000039999999998,34.099996,35.3,-0.44999799999999723,4.8900647511128446,down
146,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:50:53,2026-06-02 17:50:58,1479.0,5.0,34.736988,33.423996,-1.3129919999999942,33.423996,34.736988,-0.28600199999999987,5.068880468142851,down
147,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:50:55,2026-06-02 17:50:59,1481.0,4.0,83.1117,35.19144,-47.92026,20.889038,83.1117,-23.554698,5.328999679070215,down
148,lh_and_evap,targetSpeed,ramp,2026-06-02 17:50:55,2026-06-02 17:50:59,1481.0,4.0,44.4955,0.0,-44.4955,0.0,44.4955,-12.042648999999999,5.825955987323062,down
149,lh_and_evap,powerMon,ramp,2026-06-02 17:53:05,2026-06-02 17:53:07,1611.0,2.0,23.901452,23.901856,0.0004039999999996269,23.901452,23.902396,-0.00047200000000025,3.1677575966826335,up
150,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:53:06,2026-06-02 17:53:45,1612.0,39.0,49.975228,54.279132,4.303903999999996,49.975228,54.279132,0.16092199999999934,9.134023428083296,up
